#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
1.0%	10	-889763.4783087233	158.83608281877457	0
2.0%	20	-889021.1092851153	162.09208186674158	6.94
3.0%	30	-883031.3592851153	153.36965472516275	6.4
4.0%	40	-881580.8623504527	155.62689419374348	6.92
5.0%	50	-879880.1123504527	157.38518023021254	6.66
6.0%	60	-878620.1123504527	159.40464462138448	6.94
7.0%	70	-879259.7045472981	165.88676425214632	6.75
8.0%	80	-878555.7045472981	169.55501557427533	6.95
9.0%	90	-878208.7045472981	174.55144343154245	6.81
10.0%	100	-877076.2045472981	177.27518053263373	6.95
11.0%	110	-876424.4545472981	180.73879278259744	6.97
12.0%	120	-876274.7259254348	184.62713354746015	6.86
13.0%	130	-874936.2259254348	186.11563009686694	6.96
14.0%	140	-873801.7259254348	188.75055860962172	6.96
15.0%	150	-872743.2259254348	190.29267637133077	6.88
16.0%	160	-871752.7259254348	193.14753246414432	6.89
17.0%	170	-870414.2259254348	194.42755751055628	6.88
18.0%	180	-870216.9759254348	198.3083802913275	6.96
19.0%	190	-869556.409385168	200.9307496241256	6.89
20.0%	200	-868185.659385168	202.08965366012495	6.96
21.0%	210	-867816.659385168	205.15491353789608	6.9
22.0%	220	-866720.159385168	206.16921522222347	6.94
23.0%	230	-865937.159385168	207.95073028462178	6.95
24.0%	240	-865474.909385168	210.61118053471938	6.9
25.0%	250	-864389.909385168	211.56027723683405	6.95
26.0%	260	-863595.909385168	213.65499025630626	6.95
27.0%	270	-862946.909385168	215.93725390460654	6.91
28.0%	280	-862170.659385168	217.6684329743833	6.91
29.0%	290	-861552.409385168	219.52087184427427	6.91
30.0%	300	-861232.409385168	222.13111984993648	6.95
31.0%	310	-860488.409385168	224.2322184449148	6.9
32.0%	320	-860082.2147724493	226.1829055907653	6.94
33.0%	330	-859335.7147724493	227.81603677344202	6.9
34.0%	340	-857595.2147724493	226.99008523926025	6.93
35.0%	350	-857267.2147724493	229.0718716355786	6.93
36.0%	360	-856993.2147724493	231.47896583686003	6.9
37.0%	370	-856018.6732506268	231.974948789003	6.93
38.0%	380	-855931.1732506268	234.96737914380392	6.93
39.0%	390	-854861.784449806	234.0780962973935	6.9
40.0%	400	-854605.284449806	236.17764887881893	6.9
41.0%	410	-853230.534449806	235.65491188308778	6.9
42.0%	420	-853339.851617049	238.30195772941377	6.93
43.0%	430	-853142.851617049	240.19114654657685	6.9
44.0%	440	-852332.101617049	240.46698196398066	6.92
45.0%	450	-851782.601617049	242.1092869430994	6.9
46.0%	460	-851445.601617049	242.91614097024626	6.92
47.0%	470	-850695.851617049	243.74419004075293	6.92
48.0%	480	-849524.601617049	243.09402956912686	6.89
49.0%	490	-849813.851617049	245.88955710954716	6.92
50.0%	500	-849187.101617049	246.59763487661954	6.92
51.0%	510	-847924.601617049	246.11292175123188	6.9
52.0%	520	-848074.351617049	248.44809377972717	6.9
53.0%	530	-847955.601617049	250.57616746113902	6.9
54.0%	540	-846280.601617049	248.9288160500066	6.92
55.0%	550	-846200.601617049	250.58691596571657	6.9
56.0%	560	-846415.101617049	252.91130566702037	6.92
57.0%	570	-846132.101617049	253.7325506033038	6.9
58.0%	580	-845395.851617049	253.66924670339043	6.92
59.0%	590	-845032.351617049	254.7947757306897	6.92
60.0%	600	-844821.601617049	255.60068902261912	6.91
61.0%	610	-844712.101617049	256.7324498404652	6.93
62.0%	620	-843534.351617049	255.99154546531878	6.93
63.0%	630	-843247.101617049	257.16764207214476	6.91
64.0%	640	-843353.851617049	258.7301913514922	6.91
65.0%	650	-842630.101617049	258.8805592874933	6.91
66.0%	660	-842408.601617049	259.1916247162284	6.93
67.0%	670	-842204.2924225512	260.02831408640213	6.91
68.0%	680	-841834.5424225512	261.0386157258581	6.93
69.0%	690	-841617.2924225512	262.52788581250115	6.91
70.0%	700	-841459.2924225512	263.42755108405635	6.92
71.0%	710	-840705.2924225512	263.39843027107753	6.92
72.0%	720	-840456.7924225512	263.760870943097	6.91
73.0%	730	-839949.2924225512	264.50367911159657	6.92
74.0%	740	-839857.7924225512	265.7893297058821	6.92
75.0%	750	-839893.5424225512	267.00494758010655	6.91
76.0%	760	-839286.5424225512	267.3486634045905	6.91
77.0%	770	-838682.5424225512	267.1692306592367	6.91
78.0%	780	-838389.2924225512	267.7997792302851	6.92
79.0%	790	-838319.2924225512	268.4694748622186	6.91
80.0%	800	-838016.7924225512	268.83946091690626	6.92
81.0%	810	-837887.5424225512	269.42642245569533	6.91
82.0%	820	-838226.194310525	270.979883512422	6.92
83.0%	830	-837038.444310525	269.87648686385967	6.92
84.0%	840	-836688.944310525	270.5365689353729	6.91
85.0%	850	-837056.944310525	271.93779846842403	6.92
86.0%	860	-836391.444310525	272.0561881742531	6.92
87.0%	870	-836441.444310525	272.8632864513462	6.91
88.0%	880	-836200.694310525	273.14427687565046	6.91
89.0%	890	-835510.444310525	272.8236457993402	6.91
90.0%	900	-835328.444310525	273.67427722254024	6.92
91.0%	910	-835070.444310525	273.7579801411615	6.91
92.0%	920	-835124.944310525	274.9323648269825	6.92
93.0%	930	-835025.944310525	275.2152541977151	6.91
94.0%	940	-833864.944310525	273.3149782428694	6.92
95.0%	950	-833689.694310525	273.91078498915437	6.92
96.0%	960	-834145.194310525	275.90264035875964	6.9
97.0%	970	-834089.694310525	277.19719584653194	6.92
98.0%	980	-833232.944310525	276.3449179004276	6.92
99.0%	990	-833381.694310525	277.26668199159735	6.91
100.0%	1000	-833518.444310525	279.0447946283183	6.91
